Telefonnummer,ansprache,Titel,vorname,nachname,firma,strasse,adresszusatz,plz,ort,email,url,Beschreibung,Kategorie
0049 921 15 05 341,,,,,exxomove GmbH,,,,,,https://www.exxomove.de/,Entwickelt smarte Therapiegeräte für aktive Bewegungstherapie,Rehatechnik / Medizintechnik
0041 71 298 55 22,,,,,Blipack AG,,,,,,blipack.ch,Bietet Systemlösungen für Blisterverpackungen und entsprechendes Zubehör.,Verpackungsindustrie
0049 6 201 59 24 13,,,,,SATLOG GmbH,,,,,,satlog.de,Spezialisiert auf Tourenplanung für LKW- und Nutzfahrzeugflotten mit über 30 Jahren Erfahrung.,"Telematik, Logistiksoftware"
0049 49 72 52 96 1000,,,,,Seeburger AG,,,,,,seeburger.de,Bietet Integrationslösungen für den B2B-Datenaustausch und die Digitalisierung von Geschäftsprozessen.,Softwareentwicklung
0049 4826 59 400,,,,,Kalmeda,,,,,,www.kalmeda.de,Bietet eine digitale Gesundheitsanwendung zur kognitiven Verhaltenstherapie für Patienten mit chronischem Tinnitus.,
0049 228 5226 2700,,,,,Reconizer,,,,,,https://recogizer.com/de/,"Recogizer richtet sich ausschließlich an Geschäftskunden – vor allem Betreiber gewerblicher Immobilien (Büros, Hotels, Einkaufszentren), denen sie helfen, den Energieverbrauch durch KI-basierte Gebäudesteuerung zu optimieren.",
0041 81 720 40 50,,,,,swissplast,,,,,,swissplast.com,Hersteller von Blister- und Klappverpackungen aus hochwertigem Kunststoff.,Kunststoffverarbeitung
0043 4769 22490,,,,,Hasslacher,,,,,,https://www.hasslacher.com/,"Die HASSLACHER Gruppe ist ein international agierendes, familiengeführtes Unternehmen der Holzindustrie mit Sitz in Österreich. Seit 1901 hat sich das Unternehmen zu einem führenden Anbieter von Produkten für den modernen Holzbau entwickelt. Das Portfolio umfasst unter anderem Schnittholz, Hobelware, Brettschichtholz, Brettsperrholz und Konstruktionsvollholz. Mit rund 2.000 Mitarbeiter:innen produziert die Gruppe für den europäischen und weltweiten Markt.",
0049 6104 790 18,,,,,Wolf Verpackungen GmbH,,,,,,wolf-verpackungen.de,Hersteller von Blisterverpackungen aus Kunststoff mit nachhaltigen Lösungen.,Verpackungsindustrie
00201 3196-0,,,,,Opta data Gruppe,,,,,,optadata-gruppe.de,Spezialisiert auf Abrechnungs- und IT-Dienstleistungen im Gesundheitswesen.,Gesundheits-IT
0049 341 234 600,,,,,CargoBeamer,,,,,,www.cargobeamer.com,"Anbieter eines innovativen Systems für den kombinierten Verkehr, das den Transport von nicht-kranbaren Sattelaufliegern auf der Schiene ermöglicht und so CO?-Emissionen reduziert.",
0049 551 50665 0,,,,,DATAflor AG,,,,,,dataflor.de,Digitale Bauakte speziell für den GaLaBau – mobil nutzbar und intuitiv.,Softwareentwicklung
0049 711 89 98 98 64,,,,,Digital medical Academy,,,,,,https://dmaonline.de/,"?Die Digital Medical Academy (DMA) bietet eine eLearning-Plattform speziell für den Pflegebereich an. Sie stellt praxisnahe Schulungen bereit, die auf die Qualitätsprüfungs-Richtlinien abgestimmt sind. Die Plattform ist vollständig responsiv und ermöglicht flexibles Lernen auf allen Geräten.",
0049 2354 92 920,,,,,Paul Kläs GmbH,,,,,,paul-klaes.de,Produzent von nachhaltigen Faltschachteln und Verpackungslösungen.,Verpackungsindustrie
0049 221 98 650 770,,,,,aedifion,,,,,,aedifion.com,Cloud-Plattform zur Optimierung von Gebäudebetrieb und Energieeffizienz,PropTech
0049 3322 12 21 13,,,,,eye concept GmbH,,,,,,eye-concept.de,"Die eye concept GmbH mit Sitz in Falkensee bei Berlin ist ein erfahrener Anbieter für Produkte und Dienstleistungen rund um die Ophthalmologie. Das Unternehmen bietet hochwertige Intraokularlinsen (IOL), chirurgische Instrumente, Sterilisationslösungen sowie umfassende OP- und Praxisplanungen. Mit über 25 Jahren Erfahrung legt eye concept besonderen Wert auf persönliche Kundenbetreuung und maßgeschneiderte Lösungen für operierende Augenärzte.",Medizintechnik – Ophthalmologie / Augenchirurgie
0049 761 38 506 0,,,,,NetBAU – SIDOUN International GmbH,,,,,,sidoun.de,"Software zur Erstellung von Ausschreibung, Vergabe und Abrechnung (AVA) von Bauleistungen, kompatibel mit Microsoft-Office-Produkten.",Softwareentwicklung
0049 81  33 444 777,,,,,Planforge GmbH,,,,,,planforge.io,Bietet eine webbasierte Projekt- und Portfoliomanagementsoftware mit Integration von agilen Methoden.,Softwareentwicklung
0049 7062 9287800,,,,,Notarberater,,,,,,notarberater.de,Unterstützung bei Auswahl und Migration von Notarsoftware sowie Anpassung von Texten.,IT-Beratung / Notariat
0049 30 3080 9480,,,,,sennder,,,,,,www.sennder.com,"Digitales Speditionsunternehmen, das Straßengütertransporte durch den Einsatz von Technologie effizienter gestaltet.",
0049 6021 38810,,,,,PASS Logistics Solutions AG,, ,,,,pass-consulting.com,Bietet KI-gestützte Tourenplanungssoftware für eine effiziente Logistik- und Transportplanung.,"IT-Consulting, Softwareentwicklung"
0049 30 664 04 09 00,,,,,Camunda GmbH,,,,,,camunda.com,Open-Source-Plattform für Prozessautomatisierung.,Prozessautomatisierung
0049 89 25552420,,,,,Hawk AI,,,,,,hawk.ai,"Münchner FinTech, das mittels KI Geldwäscheprävention in Echtzeit ermöglicht.",FinTech
0049 30 85621780,,,,,Signavio,,,,,,https://www.signavio.com/de/,"Bietet eine Business-Transformation-Suite zur Modellierung, Analyse und Optimierung von Geschäftsprozessen.",
0049 152 38 87 01 95,,,,,SCOOTTRAIN,,,,,,https://www.scoottrain.com/,"Innovatives Laufband für Reha, Sport,",Rehatechnik / Medizinprodukt
0049 30 60 98 72 012,,,,,contractix,,,,,,www.contractix.de,"Die contractix GmbH mit Sitz in Berlin bietet seit 2011 eine Online-Plattform zur Verwaltung und Optimierung privater Verträge an. Nutzer können dort verschiedene Vertragsarten wie Strom, Gas, Versicherungen, Telekommunikation, Abonnements und Mitgliedschaften erfassen, verwalten und optimieren. Das Portal stellt zahlreiche Musterschreiben für Vertragsangelegenheiten bereit, darunter Kündigungen, Widerrufe und Adressänderungen.",
0049 251 596 889 79,,,,,NotarPartner,,,,,,notarpartner.de,Online-Plattform zur Erstellung unterschriftsreifer Urkunden im Word-Format.,LegalTech / Notariat
+49 6221 426 11 0,,,,,BioMed X GmbH,,,,,,bmedx.com,"Unabhängiges Forschungsinstitut an der Schnittstelle von Wissenschaft und Industrie, spezialisiert auf biomedizinische Forschung und Arzneimittelentwicklung.",Biomedizinische Forschung und Arzneimittelentwicklung
0049 6421 39 55 0,,,,,pharmaserv,,,,,,pharmaserv.de,"Pharmaserv GmbH bietet Standortmanagement, Technik- und Logistikdienstleistungen für die Pharmaindustrie an. Sie richtet sich an Unternehmen der Pharma- und Biotech-Branche",
0049 962 13 710,,,,,Deeprag,,,,,,https://www.deprag.com/,"?Die DEPRAG SCHULZ GMBH u. CO. KG mit Sitz in Amberg, Deutschland, ist ein weltweit führender Hersteller im Bereich der Schraubtechnik und industrieller Montagelösungen. Das Unternehmen bietet ein umfangreiches Portfolio in den Bereichen Schraubtechnik, Zuführtechnik, Automation, Druckluftmotoren und Druckluftwerkzeuge an.",
0043 1 488 220,,,,,Manner,,,,,,https://www.manner.com,Waffel Spezialitäten,
0049 892 05 02 255,,,,,plan net,,,,,,https://www.plan-net.com/de/,"Plan.Net ist eine Agentur für digitale Kommunikation, Customer Experience und Technologieberatung – klar B2B ausgerichtet. Zu den Kunden zählen große Unternehmen aus diversen Branchen, für die Plan.Net digitale Strategien, Plattformen und Anwendungen entwickelt. Keine Anzeichen für Endkundenfokus.",
0043 664 9680804,,,,,Aforms,,,,,,https://www.aforms.com/,Formularlösungen für E-Government und E-Business mit Fokus auf Barrierefreiheit und Normenkonformität.,E-Government Software
0049 30 837 97 775,,,,,Solarisbank AG,,,,,,solarisbank.com,Banking-as-a-Service-Plattform mit volldigitalem Tech-Stack für andere FinTechs.,FinTech-Infrastruktur
0049 781 990 98 0,,,,,BIM4You,,,,,,bib-gmbh.de,Entwickelt Bausoftware für Planung und Kalkulation mit 3D-BIM-Integration zur Optimierung von Bauprojekten.,
0049 678 9012345,,,,,PflegeNet,,,,,,pflegenet.de,Entwickelt Software für Pflegedokumentation und -planung in ambulanten und stationären Einrichtungen.,
0049 7348 2014 700,,,,,BTL Medizintechnik GmbH,,,,,,https://www.btlmed.de/,Vertreibt medizinische Geräte für Physiotherapie und Ästhetik,Medizintechnik
0049 30 467 24 21 0,,,,,Commercetools GmbH,,,,,,commercetools.com,Cloud-basierte E-Commerce-Plattform für Unternehmen.,E-Commerce
