prospect_firma,prospect_url,partner_name,partner_evaluation_score,partner_avg_leads,match_score,overlap_type
exxomove GmbH,https://www.exxomove.de/,CareLend,47,3,2.85,HORIZONTAL
exxomove GmbH,https://www.exxomove.de/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
exxomove GmbH,https://www.exxomove.de/,HRlab,45,2,2.75,HORIZONTAL
exxomove GmbH,https://www.exxomove.de/,Tap to Tie,44,2,2.7,HORIZONTAL
exxomove GmbH,https://www.exxomove.de/,vemeto GmbH,43,1,2.65,HORIZONTAL
Blipack AG,blipack.ch,CareLend,47,3,2.85,HORIZONTAL
Blipack AG,blipack.ch,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Blipack AG,blipack.ch,HRlab,45,2,2.75,HORIZONTAL
Blipack AG,blipack.ch,Tap to Tie,44,2,2.7,HORIZONTAL
Blipack AG,blipack.ch,vemeto GmbH,43,1,2.65,HORIZONTAL
SATLOG GmbH,satlog.de,CareLend,47,3,2.85,HORIZONTAL
SATLOG GmbH,satlog.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
SATLOG GmbH,satlog.de,HRlab,45,2,2.75,HORIZONTAL
SATLOG GmbH,satlog.de,Tap to Tie,44,2,2.7,HORIZONTAL
SATLOG GmbH,satlog.de,vemeto GmbH,43,1,2.65,HORIZONTAL
Seeburger AG,seeburger.de,CareLend,47,3,2.85,HORIZONTAL
Seeburger AG,seeburger.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Seeburger AG,seeburger.de,HRlab,45,2,2.75,HORIZONTAL
Seeburger AG,seeburger.de,Tap to Tie,44,2,2.7,HORIZONTAL
Seeburger AG,seeburger.de,vemeto GmbH,43,1,2.65,HORIZONTAL
Kalmeda,www.kalmeda.de,CareLend,47,3,2.85,HORIZONTAL
Kalmeda,www.kalmeda.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Kalmeda,www.kalmeda.de,HRlab,45,2,2.75,HORIZONTAL
Kalmeda,www.kalmeda.de,Tap to Tie,44,2,2.7,HORIZONTAL
Kalmeda,www.kalmeda.de,vemeto GmbH,43,1,2.65,HORIZONTAL
Reconizer,https://recogizer.com/de/,CareLend,47,3,2.85,HORIZONTAL
Reconizer,https://recogizer.com/de/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Reconizer,https://recogizer.com/de/,HRlab,45,2,2.75,HORIZONTAL
Reconizer,https://recogizer.com/de/,Tap to Tie,44,2,2.7,HORIZONTAL
Reconizer,https://recogizer.com/de/,vemeto GmbH,43,1,2.65,HORIZONTAL
swissplast,swissplast.com,CareLend,47,3,2.85,HORIZONTAL
