Company Name,Evaluation Score,Avg Leads Per Day,audience_codes
Denkmal Zukunft GmbH & Co. KG,42,2,"{""primary"": ""X_SME"", ""secondary"": [""F_OPS"", ""F_MKTG""], ""explanation"": ""Denkmal Zukunft GmbH & Co. KG is a consulting firm targeting SMEs, focusing on operational improvements and change management, hence the primary category.  Secondary categories reflect their focus on operational departments and marketing their services to improve team performance and strategy.""}"
CareMates / Kuidado,39,5,"{""primary"": ""HC_LTC"", ""secondary"": [""TECH_SAAS""], ""explanation"": ""CareMates/Kuidado's core business is providing software solutions specifically for care facilities, which directly falls under Healthcare - Long-Term Care.  The SaaS nature of their offering justifies the secondary classification in Technology - B2B SaaS Vendors.""}"
MS Company Solutions GmbH,30,5,"{""primary"": ""X_SME"", ""secondary"": [""F_HR"", ""TECH_DEV""], ""explanation"": ""The company's core business is providing consulting and staffing services across multiple sectors, making it a small-to-medium enterprise (SME).  However, their significant focus on IT project management and healthcare recruitment justifies secondary classifications in HR and software development.""}"
DB Schenker,21,8,"{""primary"": ""LOG_3PL"", ""secondary"": [""LOG_TPT"", ""X_ENTERPRISE""], ""explanation"": ""DB Schenker's core business is freight forwarding and 3PL services, making \""Logistics > 3PL / Freight Forwarders\"" the primary category.  Their provision of land, air, and ocean transport, and services to large enterprises, justify the secondary categories.""}"
Health Works,22,5,"{""primary"": ""HC_PC"", ""secondary"": [], ""explanation"": ""Health Works' core business is providing occupational health services, which falls under primary care.  No other secondary categories from the provided taxonomy are as relevant.""}"
go.ecoblister GmbH,1,10,"{""primary"": ""HC_DEVICE"", ""secondary"": [""X_SME"", ""X_REGULATED""], ""explanation"": ""The company's core business is manufacturing and supplying medical devices (blister packaging machines and consumables), thus falling under 'Healthcare > Medical-Device Manufacturers'.  It targets SMEs and operates in a highly regulated sector, making 'Cross-Industry > Targets Small & Medium Enterprises' and 'Cross-Industry > Serves Highly Regulated Sectors' appropriate secondary categories.""}"
HospiChef UG (haftungsbeschränkt),23,5,"{""primary"": ""TECH_SAAS"", ""secondary"": [""HC_HOSP"", ""X_SME""], ""explanation"": ""HospiChef's core offering is a SaaS solution for digital food service in clinics, making \""Technology > B2B SaaS Vendors\"" the primary category.  Secondary categories include \""Healthcare > Acute-Care Hospitals\"" as their target market and \""Cross-Industry > Targets Small & Medium Enterprises\"" given the description's context.""}"
Medlytics GmbH,31,4,"{""primary"": ""HC_DEVICE"", ""secondary"": [""TECH_SAAS"", ""X_REGULATED""], ""explanation"": ""Medlytics GmbH develops and sells AI-driven medical devices for hospitals, making \""Healthcare - Medical Device Manufacturers\"" the primary category.  The AI-driven nature of their products and their software integration also justify the secondary categories of \""Technology - B2B SaaS Vendors\"" and \""Cross-Industry - Serves Highly Regulated Sectors\"".""}"
Cannaleo Digital GmbH,2,40,"{""primary"": ""HC_PHAR"", ""secondary"": [""TECH_SAAS"", ""X_REGULATED""], ""explanation"": ""Cannaleo Digital GmbH primarily provides SaaS solutions for pharmacies specializing in medical cannabis distribution, making \""Healthcare > Pharmacies\"" the most relevant primary category.  The secondary categories reflect their SaaS offering and the highly regulated nature of the medical cannabis industry.""}"
MEDWING GmbH,24,5,"{""primary"": ""X_MULTIPLATFORM"", ""secondary"": [""HC_PAYER"", ""F_HR""], ""explanation"": ""MEDWING operates a multi-sided platform connecting healthcare professionals with employers.  Its services directly impact healthcare staffing and HR functions within the healthcare sector.""}"
Linovy,40,5,"{""primary"": ""TECH_SAAS"", ""secondary"": [""X_SME"", ""X_ENTERPRISE""], ""explanation"": ""Linovy's core offering is AI-powered automation and cloud solutions delivered as services, fitting the 'Technology > B2B SaaS Vendors' category.  They target both small and medium enterprises and larger enterprises, hence the secondary categories.""}"
GVS-GROSSVERBRAUCHERSPEZIALISTEN eG,32,5,"{""primary"": ""X_SME"", ""secondary"": [""RET_BRICK"", ""LOG_3PL""], ""explanation"": ""GVS-GROSSVERBRAUCHERSPEZIALISTEN eG is primarily a small-to-medium sized enterprise (SME) wholesaler.  Its secondary categories reflect its brick-and-mortar retail presence and its provision of 3PL logistics services.""}"
CareLend,47,3,"{""primary"": ""HC_HOME"", ""secondary"": [""X_SME""], ""explanation"": ""CareLend's core business is providing staffing and training services for nursing staff, which directly supports home health agencies.  As they are focused on recruitment and training, they are classified as a small-to-medium sized enterprise.""}"
Notara,3,5,"{""primary"": ""LEG_LAW"", ""secondary"": [""X_SAAS""], ""explanation"": ""Notara's core business is providing software solutions specifically for notaries, a segment within the legal sector.  The SaaS model of delivery makes 'Cross-Industry > SaaS' a relevant secondary category.""}"
Elixion Medical,4,5,"{""primary"": ""HC_DEVICE"", ""secondary"": [""X_REGULATED"", ""TECH_START""], ""explanation"": ""Elixion Medical manufactures a medical device (SmartDrain), making \""Healthcare \u2013 Medical-Device Manufacturers\"" the primary category.  The device operates within a highly regulated sector and the description suggests a characteristics of a tech startup.""}"
De BeleefTV,5,10,"{""primary"": ""HC_DEVICE"", ""secondary"": [""HC_LTC"", ""HC_MEM""], ""explanation"": ""De BeleefTV manufactures a medical device specifically designed for elderly care and dementia patients, making \""Healthcare - Medical-Device Manufacturers\"" the primary category.  The secondary categories reflect the specific target market of long-term care facilities and memory-care facilities.""}"
