firma,url,audience_codes
exxomove GmbH,https://www.exxomove.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Blipack AG,blipack.ch,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
SATLOG GmbH,satlog.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Seeburger AG,seeburger.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Kalmeda,www.kalmeda.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Reconizer,https://recogizer.com/de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
swissplast,swissplast.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Hasslacher,https://www.hasslacher.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Wolf Verpackungen GmbH,wolf-verpackungen.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Opta data Gruppe,optadata-gruppe.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
CargoBeamer,www.cargobeamer.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
DATAflor AG,dataflor.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Digital medical Academy,https://dmaonline.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Paul Kläs GmbH,paul-klaes.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
aedifion,aedifion.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
eye concept GmbH,eye-concept.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
NetBAU  SIDOUN International GmbH,sidoun.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Planforge GmbH,planforge.io,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Notarberater,notarberater.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
sennder,www.sennder.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
PASS Logistics Solutions AG,pass-consulting.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Camunda GmbH,camunda.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Hawk AI,hawk.ai,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Signavio,https://www.signavio.com/de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
SCOOTTRAIN,https://www.scoottrain.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
contractix,www.contractix.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
NotarPartner,notarpartner.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
BioMed X GmbH,bmedx.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
pharmaserv,pharmaserv.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Deeprag,https://www.deprag.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Manner,https://www.manner.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
plan net,https://www.plan-net.com/de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Aforms,https://www.aforms.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Solarisbank AG,solarisbank.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
BIM4You,bib-gmbh.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
PflegeNet,pflegenet.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
BTL Medizintechnik GmbH,https://www.btlmed.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Commercetools GmbH,commercetools.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Endel,endel.io,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Brumba,brumaba.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Sarna Plastec AG,sarna-plastec.ch,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
ToolSense GmbH,https://toolsense.io/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Xerox GmbH,xerox.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
DIGI-BEL,digi-bel.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
myCortex,mycortex.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Bernstein,https://www.bernstein.eu/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
aforms2web,https://www.aforms2web.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
LeanIX,https://www.leanix.net/de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
ebiga-VISION GmbH,ebiga-vision.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Beglaubigt.de,beglaubigt.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Integral,www.integral.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Secunet Security Networks AG,secunet.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Thielemann Group,www.thielemann-group.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Air Code,https://www.aircode.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Schrack Seconet AG,schrack-seconet.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Uberblick.io,uberblick.io,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
NOAH (Westernacher Solutions GmbH),noah-notariatssoftware.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
PlanOrg,planorg.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
FEURER Porsiplast GmbH,feurer.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Panat Laptool GmbH,https://panat-laptool.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
UnTouch,untouch.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
PTV Group,ptvgroup.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
AsstrA,www.asstra.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
BRF Verpackungen GmbH & Co. KG,blisterverpackung-nrw.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Pricefx,https://www.pricefx.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
SobIT GmbH,sobit.at,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
qado,qado.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Candis GmbH,candis.io,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
FrachtGefährten,frachtgefaehrten.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
DeepDrive,www.deepdrive.tech,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
notarity,https://notarity.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Alugha GmbH,alugha.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Davitec GmbH,davitec.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
auxalia,auxalia.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Inhubber GmbH,www.inhubber.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Novartis Deutschland,novartis.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
medidoc,medidoc.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
ELO Digital Office GmbH,elo.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Block Optic Design GmbH,block-optic.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Cambrium,cambrium.bio,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
health learning,https://health-learning.ch/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Heinrich Buhl GmbH,heinrich-buhl.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Pro-Bau/S® AddOne,probau-s.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
innloft,https://innoloft.com/de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
packVerde,pack-verde.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Smart-Store GmbH,smart-store.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Bluebeam,https://www.bluebeam.com/de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
HERO,https://hero-software.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
synedra information technologies GmbH,synedra.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Herma GmbH,herma.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Crif,https://www.crif.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Stammaum,www.stumbaum.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Acotherm GmbH,https://www.acotherm.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Confiserieauer,https://www.confiserieauer.ch,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
UltiHash,ultihash.io,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Claus Mayer Verpackungen,pm-mayer.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Orderlion,orderlion.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
med3 GmbH,med3.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
frischli Milchwerke GmbH,frischli.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Commercetools,https://commercetools.com/de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
humanvision ag,humanvision.ch,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Right Point GmbH,rightpoint.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
NEVARIS,https://www.nevaris.com/de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Freshfoodz,freshfoodz.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
JobRouter AG,jobrouter.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Digando,www.digando.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
SOFTAGE,softage.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
